#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-02-12 14:23:37.565

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,0.003461853558923264,1.594129620730514,1.594125861800239,-0.001931352028082776,0.006385200266153581,0.00608610399044491
0.1,0.002570204632829645,1.594348898674976,1.594346826996642,-0.002661854438860906,0.006681424673431019,0.006128292308061712
0.2,0.003495475313300832,1.594362571557309,1.594358739818355,-0.001965122212522689,0.006487577285151444,0.006182794976437926
0.3,0.003550614990480054,1.594222851371973,1.594218897444694,-0.001395472522366006,0.00625745414492859,0.006099867934243075
0.4,0.002647310522868909,1.594562431014419,1.594560233465519,-0.001105315542902452,0.006165563566163989,0.006065678168105174
0.5,0.003882797923730643,1.594498254423162,1.594493526872644,-0.0013701448840361,0.006258023854576586,0.006106190757027136
0.6000000000000001,0.003370402387016174,1.594164576925705,1.594161014048598,-0.001391917766109167,0.006312004031732235,0.00615661918823928
0.7,0.002504305994249588,1.594493755434317,1.594491788806238,-0.001179076735231614,0.006246581256130001,0.006134293393853271
0.8,0.003028805362539953,1.594238577981639,1.594235700849471,-0.001357258892605114,0.006227281998971443,0.006077572656345575
0.8999999999999999,0.00396349013423683,1.594456568033063,1.594451641816002,-0.001400804656751255,0.006264187179315065,0.006105553810353554
1,0.003181672272443381,1.594176005186499,1.594172830176808,-0.001468345025630962,0.006303514616134183,0.00613011088003492
1.1,0.002196330724150861,1.594226514637066,1.594225001718141,-0.001630086435316656,0.006347721989003661,0.006134850663470063
1.2,0.002279264384948959,1.594093712568446,1.594092083100639,-0.00169895983779267,0.006354675564307378,0.006123351778003141
1.3,0.002603378097148906,1.594068306286721,1.594066180411057,-0.002052658085347039,0.006468732298235171,0.006134418662831181
1.4,0.00268451859771344,1.594288436092605,1.594286175947882,-0.001927352927293871,0.006486345262159163,0.006193382400077595
1.5,0.00367434304658959,1.594038959631031,1.594034724849103,-0.001761612416819263,0.006373287889198805,0.006124991445832335
1.6,0.003324228511004301,1.594083614403647,1.594080148303409,-0.001519444646822875,0.006311745118563121,0.006126125562453658
1.7,0.002733830504133842,1.594368175226765,1.594365831403413,-0.001717177963608933,0.006368840268132705,0.006132978575071599
1.8,0.003252950391723849,1.594015021586385,1.594011702390164,-0.001700737215921094,0.00641018016637811,0.006180445185244473
1.9,0.002929284969582238,1.594270331376263,1.594267640265006,-0.001945571053110102,0.006443993270597003,0.006143272950862757
2,0.003024770752014632,1.594186257048411,1.594183387482109,-0.001769610618397128,0.006370011551113212,0.00611927490970731
2.1,0.00310008348182044,1.594237079524043,1.594234065378032,-0.001998892396962534,0.006454682757590612,0.006137373924286053
2.2,0.003634893521453207,1.594397822800306,1.59439367939648,-0.001886473230340341,0.006371754457683764,0.006086088532072456
2.3,0.003728586143652113,1.594078854533467,1.594074493904255,-0.002155301672262955,0.006506801212633981,0.006139473651891974
2.4,0.002459925278471162,1.594324752834938,1.594322855092351,-0.001983784682871014,0.00643657102044083,0.00612323810031802
2.5,0.002862938040943846,1.594059334984857,1.594056764057709,-0.002150413882409813,0.006492478040795807,0.006126009406175985
2.6,0.00236219804574696,1.594301537111062,1.594299787133864,-0.001941571952321193,0.006436070159742475,0.006136228275992435
2.7,0.00300145966897948,1.594301688315497,1.594298863013306,-0.001734063055828833,0.006410152227601446,0.006171148750389465
2.8,0.002802867173122542,1.594409773852839,1.594407310223172,-0.001640306359555045,0.006379143330601419,0.006164646354752362
2.9,0.002680035697129775,1.594296536143555,1.594294283552453,-0.001383475219999217,0.00625832255157919,0.00610349059762152
3,0.001889700324227251,1.594134292748648,1.594133172714857,-0.001495894386621379,0.006310521337854025,0.006130658980858917
3.1,0.002591722555631293,1.594117073984145,1.594114967165781,-0.001894471431918211,0.006428388026768645,0.006142894319158648
3.2,0.002716795481915935,1.594081317027344,1.594079001906096,-0.001467456336566764,0.006348257148159716,0.006176320969592895
3.3,0.002750417236293517,1.594082449593107,1.594080076817286,-0.001276832532294358,0.006163727854800008,0.00603002817178451
3.4,0.002370267266797615,1.594189943105486,1.594188181028751,-0.001692739014343235,0.006338091082172909,0.006107866501098296
3.5,0.002118776544053302,1.594361966778752,1.594360558937836,-0.001362591026990334,0.006281348163099235,0.006131776287442246
3.6,0.003418369423261532,1.594467358556951,1.594463694241443,-0.001243506692386628,0.006280732449012424,0.0061564024561483
3.700000000000001,0.003146257357832324,1.594236341938216,1.594233237334233,-0.001072878392058912,0.00621758064805506,0.006124315559385005
3.8,0.002739658274892684,1.593987764441347,1.593985410052825,-0.001690961636214805,0.006359486003560327,0.006130555519227516
3.9,0.00340940362209422,1.594073803791303,1.594070157772434,-0.001569655578950561,0.006337596567310927,0.006140139380621502
4,0.002813177844465015,1.594355217659768,1.594352735786329,-0.001531441949189671,0.006309346108227304,0.00612066449576065
4.1,0.003521027846627784,1.594382459185089,1.594378571268441,-0.001328820842550486,0.006238613765809322,0.006095452147900913
4.2,0.003081703589427325,1.594179477546026,1.594176498927234,-0.001198627894644181,0.006271706351540075,0.006156101991530884
4.300000000000001,0.002849489339192783,1.594129615036839,1.59412706831921,-0.001318600918312102,0.006255283047139722,0.006114724655948236
4.4,0.003521476136686183,1.594432171239695,1.594428282454228,-0.001344817245706174,0.006285413382780262,0.006139860582137624
4.5,0.002647310522868934,1.594292641852136,1.594290443931365,-0.001700737215921096,0.006376025369486575,0.006145013623639966
4.6,0.003650583673496102,1.594276196436161,1.59427201686594,-0.001624309956399315,0.006382898130829088,0.006172763215456065
4.7,0.003621893109760586,1.594267221162113,1.594263107006579,-0.001476787571740943,0.006278729853235235,0.006102585274935783
4.800000000000001,0.00336771264666603,1.594165129326599,1.594161572135157,-0.001023111804463325,0.006226787669911776,0.006142159792917673
4.9,0.003475750550732653,1.594372995349984,1.594369206758401,-0.001254170961157102,0.006273549722303071,0.006146908273140179
5,0.002942733671333307,1.594105439638744,1.594102723479383,-0.0007391756484492117,0.006178855719289272,0.006134482648156475
5.1,0.002530755107693251,1.594238679056063,1.594236670346349,-0.0009386863433636691,0.006150474887855019,0.006078421612138904
5.2,0.002319610490202026,1.59445960864738,1.594457921368614,-0.001067990602205763,0.006172004211372823,0.006078900563325724
5.300000000000001,0.002150156848139009,1.594525571544422,1.594524121841561,-0.001053327232646354,0.006171042034591949,0.006080482014911919
5.4,0.003027460492364838,1.594175255880566,1.594172381188692,-0.00144079566464052,0.006302662203739846,0.006135768795123106
5.5,0.002457235538120959,1.594124526601669,1.59412263276904,-0.001772721030121858,0.006371163292584542,0.006119573665717449
5.6,0.002289575056291392,1.594360223084823,1.594358579116118,-0.001299049758899563,0.00632311935637728,0.006188239500770516
5.7,0.003361884875907253,1.594371160260952,1.594367615828276,-0.001085764383489896,0.006194815823533042,0.006098922756605864
5.800000000000001,0.002917629428064745,1.594154921394351,1.594152251462939,-0.001179076735231631,0.006221674041295122,0.006108928378084223
5.9,0.002960665273668089,1.594059576302161,1.594056826860875,-0.001359480615265622,0.006271417217873949,0.006122294208657579
6,0.002951699472500666,1.594120861101441,1.594118128392323,-0.001491006596768261,0.00624985424542557,0.006069396791894505
6.1,0.003264157643183017,1.59454405684065,1.594540715842881,-0.001286163767468558,0.006305021148411137,0.006172444770523517
6.2,0.002812729554406647,1.594211349048593,1.594208867742178,-0.001123533668718676,0.006229689251229379,0.006127536230993618
6.300000000000001,0.003949593142427431,1.59447109063211,1.59446619894419,-0.001029332627912778,0.006184583045323708,0.006098322866626679
6.4,0.004321673890872714,1.594466092275096,1.59446023548717,-0.001142196139067034,0.006166594667093875,0.006059890903979398
6.5,0.002846799598842584,1.594419189409401,1.594416647959053,-0.001252837927560759,0.006251721961047386,0.006124902007829034
6.6,0.003288365306334912,1.594191846950967,1.594188455465214,-0.001786940055149164,0.006429329969841111,0.00617601239477404
6.7,0.00391193677752452,1.594380995674982,1.594376196548414,-0.001449682555282619,0.006286243206280346,0.006116802607361072
6.800000000000001,0.003089324520419533,1.594087797745368,1.594084804204184,-0.001560324343776365,0.006365199392381348,0.006170992727835053
6.900000000000001,0.002610102448024376,1.594477733125929,1.594475596802784,-0.001869588138120425,0.006412948154938048,0.006134373988576397
7,0.003962593554120085,1.594469278872408,1.594464354923064,-0.001761612416819238,0.006376839890517779,0.006128687353929115
7.100000000000001,0.003725896403301896,1.594163837788388,1.594159483680414,-0.00182115458412114,0.006454413089766596,0.006192159907018253
7.199999999999999,0.003938834181026608,1.594443099872345,1.594438234713353,-0.00133593035506413,0.006272506759767115,0.006128591284932064
7.300000000000001,0.00259217084568963,1.594443514418494,1.594441407302732,-0.001256392683817614,0.006227365580053206,0.006099308115817942
7.400000000000001,0.003272675154292,1.594375713669789,1.594372354858607,-0.001532330638253877,0.006319338781350274,0.006130742650653873
7.5,0.002587687945105973,1.594284332142481,1.594282232098853,-0.001712290173755781,0.006327677837173059,0.006091598244460065
7.600000000000001,0.003644755902737325,1.594404627298653,1.594400461397888,-0.001443461731833184,0.00628751087794484,0.006119576069386618
7.699999999999999,0.003428231804545661,1.594125266091926,1.594121579811081,-0.002057101530668083,0.0064502157740021,0.006113396504702755
7.800000000000001,0.003001459668979485,1.594224992226533,1.59422216678842,-0.002295270199875537,0.006523963982379834,0.006106868326151615
7.900000000000001,0.002981286616352902,1.594414807913248,1.594412020659392,-0.002637415489595216,0.006713595916170982,0.006173848853096083
8,0.003235467079447491,1.594154879039628,1.594151595714362,-0.002434794382956043,0.006610566535224102,0.006145841376845844
8.100000000000001,0.003804347163516287,1.594275037206926,1.594270498128788,-0.001900692255367673,0.006407488724248367,0.006119091493167789
