#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-02-12 13:08:36.439

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
0,2.507247452944262,2.50724759972869,0.0008579328944631868,-0.006563643775260936,0.006726319357149107,0.001470357944799224
0.5,2.50719231326708,2.507192420871815,0.0007345546895149365,-0.006336583719356401,0.006536770566045846,0.001605327443455861
1,2.507288247339579,2.507288411022646,0.0009059803443575998,-0.007167063649857208,0.007213429461127825,0.000816555711238039
1.5,2.507339352406229,2.507339537497793,0.0009634177854171582,-0.006408567533556942,0.006599526626266477,0.001576075460959355
2,2.507331283185182,2.507331469112664,0.0009655893135191756,-0.006690281966910506,0.006828221093813783,0.001365551357230337
2.5,2.507189175236675,2.507189283313774,0.0007361647576613785,-0.00648277307041832,0.006658662160273891,0.00152034044941337
3,2.507285109309164,2.507285268988488,0.0008948308635943682,-0.006463666255537837,0.006643895611549686,0.001536999490627799
3.5,2.507208899999244,2.507209014985126,0.0007593328306291808,-0.006773818738946003,0.006897036542294136,0.001297880101412779
4,2.507061412570038,2.507061522192065,0.0007413888155303668,-0.007177727918627671,0.007224659998391744,0.0008221520653185228
4.5,2.507059171119745,2.507059273176401,0.0007153483170025305,-0.007328805059542787,0.007369789984170835,0.0007761577223712161
5,2.507043480967699,2.507043575320404,0.000687816624170267,-0.007181727019416585,0.007229034760849484,0.0008256758396273023
5.5,2.507143449650719,2.507143532458997,0.0006443784048054188,-0.007058199239491909,0.007125496189258091,0.0009769951068256853
6,2.507183795755976,2.507183898161198,0.0007165867154548214,-0.006676507286415341,0.006816447441201742,0.001374120145077331
6.5,2.507192313267075,2.507192439914079,0.0007969038911901814,-0.006765376192835888,0.006888683141998218,0.001297551694637512
7,2.507064102310385,2.50706416006985,0.000538156484545985,-0.006300591812256089,0.00650752716218222,0.00162802106309272
7.5,2.5071371735899,2.507137258529918,0.0006526190287618319,-0.006887126594632167,0.006988783097063062,0.001187676912001053
8,2.507047515578227,2.507047613591145,0.0007010314868539243,-0.006570753287774764,0.006730185657834327,0.001456228079702953
8.5,2.507149277421469,2.507149389942611,0.0007511415302952904,-0.006568087220582227,0.006729457153125324,0.001464863078439297
9,2.507023756205137,2.507023913267718,0.0008874222998649429,-0.007095524180188598,0.007150972946456622,0.0008887917018668813
9.5,2.507113862506863,2.507113965639897,0.0007191185974316608,-0.007150622902169381,0.007202952237433054,0.000866667782778156
10,2.507199934198073,2.507200049644462,0.0007608504545050992,-0.006871574536008607,0.006972173752358089,0.001180114498320217
10.5,2.507148829131422,2.507148936740865,0.0007345644017584423,-0.007105299759894879,0.007161169844972151,0.0008927871362034738
11,2.507245211493972,2.507245360072559,0.0008631598946932519,-0.006959110408832883,0.007043153307358998,0.001084799902576915
11.5,2.507070378371207,2.50707051298125,0.0008215551035123009,-0.006995546660465436,0.007083324868068763,0.001111673561729347
12,2.506918408041404,2.506918544622636,0.0008275234128730282,-0.007213275481195934,0.007250452933568369,0.0007332970573105711
12.5,2.507057826249567,2.507057902358761,0.0006177534599341163,-0.007052867105106679,0.007117078298228876,0.0009538705891359948
13,2.50704796386828,2.507048043827842,0.0006331855469265329,-0.007091525079399637,0.007148134500349844,0.0008978300971404893
13.5,2.5070434809677,2.507043571380391,0.0006733024177484266,-0.007122184852114816,0.007179936455671642,0.0009088291587437965
14,2.506710849744376,2.506711098364966,0.001116440267556189,-0.007310586933726571,0.007341707392863034,0.0006752674483773272
14.5,2.507164967573517,2.507165056274149,0.000666913241489413,-0.007147956834976756,0.007196879750506141,0.000837729806409847
15,2.507132690689326,2.507132807910907,0.0007666676185300978,-0.006856466821917018,0.006960988522576357,0.001201758682675564
15.5,2.506869992715094,2.506870159941673,0.0009156579859680715,-0.007036426357418867,0.007105320921209486,0.0009870610467406071
16,2.50696637507766,2.506966496805776,0.0007812398063215463,-0.00680892195698203,0.006923932010046097,0.001256748289621046
16.5,2.507106241575867,2.507106333978702,0.0006806808848074265,-0.0069231185017325,0.007013945738848104,0.001125106678706259
17,2.506940822544327,2.506940940073428,0.0007676431573323121,-0.006574752388563754,0.006734641458857587,0.001458775722460078
17.5,2.507097275774704,2.507097363674266,0.0006638859441489643,-0.006649846614489084,0.006795222073775042,0.001398064031325388
18,2.506998651961862,2.506998740741526,0.0006671881525710307,-0.006944002694741382,0.007032540982522459,0.001112411455477482
18.5,2.507113862506864,2.507113952506892,0.0006717735342918806,-0.007160398481875676,0.0072130756548317,0.0008701459550394899
19,2.507106689865932,2.50710678653149,0.0006962045636962703,-0.007196834733508115,0.007232429591776291,0.0007166642300026977
19.5,2.497980849147744,2.502571781948471,0.1515163393663113,-0.007090636390335454,0.007163050749869016,0.001015958476141313
