Time (s),C1 True RMS (V)
0,1.594129621
0.1,1.594348899
0.2,1.594362572
0.3,1.594222851
0.4,1.594562431
0.5,1.594498254
0.6,1.594164577
0.7,1.594493755
0.8,1.594238578
0.9,1.594456568
1,1.594176005
1.1,1.594226515
1.2,1.594093713
1.3,1.594068306
1.4,1.594288436
1.5,1.59403896
1.6,1.594083614
1.7,1.594368175
1.8,1.594015022
1.9,1.594270331
2,1.594186257
2.1,1.59423708
2.2,1.594397823
2.3,1.594078855
2.4,1.594324753
2.5,1.594059335
2.6,1.594301537
2.7,1.594301688
2.8,1.594409774
2.9,1.594296536
3,1.594134293
3.1,1.594117074
3.2,1.594081317
3.3,1.59408245
3.4,1.594189943
3.5,1.594361967
3.6,1.594467359
3.7,1.594236342
3.8,1.593987764
3.9,1.594073804
4,1.594355218
4.1,1.594382459
4.2,1.594179478
4.3,1.594129615
4.4,1.594432171
4.5,1.594292642
4.6,1.594276196
4.7,1.594267221
4.8,1.594165129
4.9,1.594372995
5,1.59410544
5.1,1.594238679
5.2,1.594459609
5.3,1.594525572
5.4,1.594175256
5.5,1.594124527
5.6,1.594360223
5.7,1.59437116
5.8,1.594154921
5.9,1.594059576
6,1.594120861
6.1,1.594544057
6.2,1.594211349
6.3,1.594471091
6.4,1.594466092
6.5,1.594419189
6.6,1.594191847
6.7,1.594380996
6.8,1.594087798
6.9,1.594477733
7,1.594469279
7.1,1.594163838
7.2,1.5944431
7.3,1.594443514
7.4,1.594375714
7.5,1.594284332
7.6,1.594404627
7.7,1.594125266
7.8,1.594224992
7.9,1.594414808
8,1.594154879
8.1,1.594275037
8.2,1.594477447
8.3,1.594467473
8.4,1.594432085
8.5,1.594359701
8.6,1.594277775
8.7,1.594282436
8.8,1.59438665
8.9,1.594258045
9,1.594423057
9.1,1.594263177
9.2,1.59436426
9.3,1.594074318
9.4,1.594327395
9.5,1.594522366
9.6,1.594365613
9.7,1.594511203
9.8,1.594475243
9.9,1.594179667
10,1.594268276
10.1,1.594389346
10.2,1.594464674
10.3,1.594220826
10.4,1.594269636
10.5,1.594301022
10.6,1.594192244
10.7,1.594472346
10.8,1.594128091
10.9,1.594485661
11,1.594137033
11.1,1.594540901
11.2,1.594110044
11.3,1.594524216
11.4,1.594257995
11.5,1.594345497
11.6,1.594432756
11.7,1.594515778
11.8,1.594469873
11.9,1.594514691
12,1.594393507
12.1,1.594142948
12.2,1.594173614
12.3,1.594143114
12.4,1.594499236
12.5,1.594494238
12.6,1.594230561
12.7,1.594332841
12.8,1.594113359
12.9,1.59450453
13,1.594137392
13.1,1.594189349
13.2,1.594499839
13.3,1.594452422
13.4,1.594369383
13.5,1.594370555
13.6,1.594333424
13.7,1.594169365
13.8,1.594488306
13.9,1.594377322
14,1.594397127
14.1,1.594325772
14.2,1.594410092
14.3,1.594147618
14.4,1.594148782
14.5,1.594143931
14.6,1.594123716
14.7,1.594507394
14.8,1.594279164
14.9,1.594095627
15,1.594449792
15.1,1.59414928
15.2,1.594378533
15.3,1.59450555
15.4,1.594151821
15.5,1.594475108
15.6,1.594176088
15.7,1.594355567
15.8,1.594225933
15.9,1.594121518
16,1.594142821
16.1,1.594495291
16.2,1.594273201
16.3,1.594196189
16.4,1.594245351
16.5,1.594092695
16.6,1.594159611
16.7,1.594461249
16.8,1.594137302
16.9,1.594155308
17,1.594088868
17.1,1.594310712
17.2,1.594293316
17.3,1.594198418
17.4,1.594352011
17.5,1.594105304
17.6,1.594197874
17.7,1.594174181
17.8,1.594413439
17.9,1.594210388
18,1.594319775
18.1,1.594158416
18.2,1.594547516
18.3,1.594415316
18.4,1.594326698
18.5,1.594143853
18.6,1.594162327
18.7,1.594084181
18.8,1.594397323
18.9,1.594445173
19,1.59450632
19.1,1.594181833
19.2,1.594456333
19.3,1.59423146
19.4,1.594471315
19.5,1.594502084
19.6,1.594443347
19.7,1.594110877
19.8,1.594074211
19.9,1.594471555
20,1.594077148
20.1,1.594463579
20.2,1.59446502
20.3,1.594454231
20.4,1.594326438
20.5,1.594057038
20.6,1.594411528
20.7,1.594351661
20.8,1.594195406
20.9,1.594242109
21,1.594431807
21.1,1.594143801
21.2,1.594501013
21.3,1.594124269
21.4,1.594520932
21.5,1.5940681
21.6,1.594178625
21.7,1.594161837
21.8,1.594228528
21.9,1.594435342
22,1.594420052
22.1,1.594099773
22.2,1.594186052
22.3,1.594251701
22.4,1.594282434
22.5,1.594456507
22.6,1.594184701
22.7,1.594406163
22.8,1.59409077
22.9,1.594451656
23,1.594313608
23.1,1.594094382
23.2,1.594521182
23.3,1.594118477
23.4,1.594112749
23.5,1.594424787
23.6,1.594537831
23.7,1.594172476
23.8,1.594433528
23.9,1.594506402
24,1.594547423
24.1,1.594264217
24.2,1.594432
24.3,1.594134255
24.4,1.594461396
24.5,1.594093603
24.6,1.594337095
24.7,1.594115483
24.8,1.594216681
24.9,1.594247073
25,1.594458472
25.1,1.594459334
25.2,1.594154985
25.3,1.594330206
25.4,1.594269114
25.5,1.594347049
25.6,1.594395443
25.7,1.594222975
25.8,1.594270911
25.9,1.594162503
26,1.594266954
26.1,1.594377175
26.2,1.594164291
26.3,1.594470014
26.4,1.594127232
26.5,1.594154464
26.6,1.594143219
26.7,1.594230246
26.8,1.594116211
26.9,1.594502783
27,1.59411999
27.1,1.594454822
27.2,1.594225177
27.3,1.594320767
27.4,1.594110418
27.5,1.594135308
27.6,1.594416979
27.7,1.594221937
27.8,1.594171401
27.9,1.594080393
28,1.594308832
28.1,1.594118174
28.2,1.594146419
28.3,1.594446106
28.4,1.594056956
28.5,1.594186557
28.6,1.594354865
28.7,1.594241896
28.8,1.594031372
28.9,1.594112354
29,1.594113078
29.1,1.594281281
29.2,1.594266934
29.3,1.594376668
29.4,1.594306929
29.5,1.594227994
29.6,1.594488773
29.7,1.594090917
29.8,1.594179277
29.9,1.594102452
30,1.594117694
30.1,1.594473846
30.2,1.594392382
30.3,1.59418611
30.4,1.59441172
30.5,1.594426616
30.6,1.594125631
30.7,1.594503761
30.8,1.594440024
30.9,1.594475643
31,1.594052435
31.1,1.594351232
31.2,1.594481508
31.3,1.594065683
31.4,1.594140395
31.5,1.594221032
31.6,1.594240534
31.7,1.59411443
31.8,1.594411554
31.9,1.594414931
32,1.594479491
32.1,1.594235984
32.2,1.594183435
32.3,1.594282787
32.4,1.594355916
32.5,1.594540256
32.6,1.594287847
32.7,1.594396593
32.8,1.594092851
32.9,1.594125869
33,1.594355629
33.1,1.594070885
33.2,1.594435464
33.3,1.594186519
33.4,1.594334118
33.5,1.594170767
33.6,1.594397371
33.7,1.594100029
33.8,1.594328661
33.9,1.59446941
34,1.594460978
34.1,1.594078445
34.2,1.594377096
34.3,1.594492055
34.4,1.59451778
34.5,1.594093179
34.6,1.594128717
34.7,1.594480208
34.8,1.5944901
34.9,1.594484317
35,1.594450725
35.1,1.594386146
35.2,1.59402779
35.3,1.594444623
35.4,1.594499317
35.5,1.594095017
35.6,1.59432279
35.7,1.594367956
35.8,1.594100512
35.9,1.594513318
36,1.594302197
36.1,1.594537361
36.2,1.594104602
36.3,1.594151224
36.4,1.594433494
36.5,1.594375882
36.6,1.594195324
36.7,1.594062048
36.8,1.594104283
36.9,1.594472796
37,1.594136105
37.1,1.594448627
37.2,1.594090435
37.3,1.594434193
37.4,1.594149499
37.5,1.594498723
37.6,1.594304569
37.7,1.59415863
37.8,1.594493658
37.9,1.594153324
38,1.594296294
38.1,1.594492904
38.2,1.594238259
38.3,1.594198251
38.4,1.594133559
38.5,1.594193242
38.6,1.594116795
38.7,1.594416211
38.8,1.594086623
38.9,1.594113633
39,1.594232158
39.1,1.594438725
39.2,1.594436584
39.3,1.594540713
39.4,1.594248771
39.5,1.594362524
39.6,1.594161538
39.7,1.594472478
39.8,1.594375747
39.9,1.594227107
40,1.594316512
40.1,1.594278918
40.2,1.594339243
40.3,1.594496263
40.4,1.594425026
40.5,1.594300609
40.6,1.594390143
40.7,1.594113041
40.8,1.594420413
40.9,1.594188089
41,1.594507112
