#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B0DF82
#Date Time: 2022-03-27 19:52:17.370
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Math 1: Function: C1/1000

#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Math 1 (V)
-0.0051205,-0.665871066788894,-0.0006658710667888939
-0.00511925,-0.6621986746307449,-0.0006621986746307448
-0.005117999999999999,-0.6585262824725974,-0.0006585262824725973
-0.00511675,-0.6621986746307449,-0.0006621986746307448
-0.005115499999999999,-0.665871066788894,-0.0006658710667888939
-0.00511425,-0.6621986746307449,-0.0006621986746307448
-0.005112999999999999,-0.6585262824725957,-0.0006585262824725957
-0.00511175,-0.6585262824725957,-0.0006585262824725957
-0.0051105,-0.6511814981562974,-0.0006511814981562975
-0.005109249999999999,-0.6548538903144482,-0.0006548538903144482
-0.005108,-0.6585262824725957,-0.0006585262824725957
-0.005106749999999999,-0.6548538903144482,-0.0006548538903144482
-0.0051055,-0.6585262824725957,-0.0006585262824725957
-0.005104249999999999,-0.6585262824725957,-0.0006585262824725957
-0.005103,-0.6511814981562974,-0.0006511814981562975
-0.00510175,-0.6511814981562974,-0.0006511814981562975
-0.0051005,-0.6511814981562974,-0.0006511814981562975
-0.00509925,-0.6511814981562974,-0.0006511814981562975
-0.005097999999999999,-0.6511814981562974,-0.0006511814981562975
-0.00509675,-0.6511814981562974,-0.0006511814981562975
-0.005095499999999999,-0.6475091059981483,-0.0006475091059981483
-0.00509425,-0.6475091059981483,-0.0006475091059981483
-0.005092999999999999,-0.6438367138399992,-0.0006438367138399992
-0.00509175,-0.6438367138399992,-0.0006438367138399992
-0.0050905,-0.6475091059981483,-0.0006475091059981483
-0.00508925,-0.6475091059981483,-0.0006475091059981483
-0.005088,-0.6438367138399992,-0.0006438367138399992
-0.005086749999999999,-0.6438367138399992,-0.0006438367138399992
-0.0050855,-0.6438367138399992,-0.0006438367138399992
-0.005084249999999999,-0.64016432168185,-0.00064016432168185
-0.005083,-0.6328195373655517,-0.0006328195373655518
-0.005081749999999999,-0.6364919295237008,-0.0006364919295237008
-0.0050805,-0.6364919295237008,-0.0006364919295237008
-0.00507925,-0.64016432168185,-0.00064016432168185
-0.005078,-0.6364919295237025,-0.0006364919295237025
-0.00507675,-0.6364919295237008,-0.0006364919295237008
-0.005075499999999999,-0.6364919295236975,-0.0006364919295236975
-0.00507425,-0.6291471452074026,-0.0006291471452074026
-0.005072999999999999,-0.6254747530492535,-0.0006254747530492535
-0.00507175,-0.6254747530492535,-0.0006254747530492535
-0.005070499999999999,-0.6291471452074026,-0.0006291471452074026
-0.00506925,-0.6218023608911076,-0.0006218023608911077
-0.005068,-0.614457576574806,-0.000614457576574806
-0.005066749999999999,-0.6181299687329568,-0.0006181299687329567
-0.0050655,-0.6218023608911043,-0.0006218023608911043
-0.005064249999999999,-0.6181299687329551,-0.0006181299687329551
-0.005063,-0.6181299687329551,-0.0006181299687329551
-0.005061749999999999,-0.614457576574806,-0.000614457576574806
-0.0050605,-0.6107851844166569,-0.0006107851844166568
-0.00505925,-0.6071127922585078,-0.0006071127922585078
-0.005058,-0.6034404001003603,-0.0006034404001003602
-0.00505675,-0.5960956157840603,-0.0005960956157840603
-0.005055499999999999,-0.5997680079422061,-0.000599768007942206
-0.00505425,-0.5924232236259112,-0.0005924232236259112
-0.005052999999999999,-0.596095615784057,-0.0005960956157840569
-0.00505175,-0.5887508314677621,-0.0005887508314677621
-0.005050499999999999,-0.5850784393096129,-0.0005850784393096129
-0.00504925,-0.5814060471514654,-0.0005814060471514654
-0.005048,-0.5777336549933146,-0.0005777336549933147
-0.00504675,-0.5777336549933146,-0.0005777336549933147
-0.0050455,-0.5703888706770164,-0.0005703888706770164
-0.005044249999999999,-0.5593716942025673,-0.0005593716942025673
-0.005043,-0.5556993020444198,-0.0005556993020444197
-0.005041749999999999,-0.5520269098862707,-0.0005520269098862707
-0.0050405,-0.5483545177281215,-0.0005483545177281215
-0.005039249999999999,-0.5446821255699723,-0.0005446821255699723
-0.005038,-0.5373373412536774,-0.0005373373412536774
-0.00503675,-0.533664949095525,-0.0005336649490955249
-0.0050355,-0.5116305961466401,-0.0005116305961466401
-0.00503425,-0.5042858118303318,-0.0005042858118303318
-0.005032999999999999,-0.4895962431977302,-0.0004895962431977302
-0.00503175,-0.4785790667232878,-0.0004785790667232878
-0.005030499999999999,-0.4675618902488404,-0.0004675618902488404
-0.00502925,-0.4491999294580947,-0.0004491999294580947
-0.005027999999999999,-0.4381827529836472,-0.0004381827529836472
-0.00502675,-0.4198207921929099,-0.0004198207921929099
-0.0050255,-0.4014588314021558,-0.0004014588314021558
-0.005024249999999999,-0.3794244784532509,-0.000379424478453251
-0.005023,-0.3573901255043662,-0.0003573901255043661
-0.005021749999999999,-0.346372949029907,-0.000346372949029907
-0.0050205,-0.3206662039228748,-0.0003206662039228748
-0.005019249999999999,-0.3059766352902782,-0.0003059766352902782
-0.005018,-0.2839422823413834,-0.0002839422823413834
-0.00501675,-0.2582355372343394,-0.0002582355372343394
-0.0050155,-0.2435459686017495,-0.0002435459686017495
-0.00501425,-0.2288563999691463,-0.0002288563999691463
-0.005012999999999999,-0.2031496548620906,-0.0002031496548620906
-0.00501175,-0.1774429097550583,-0.0001774429097550583
-0.005010499999999999,-0.1664257332806009,-0.0001664257332806009
-0.00500925,-0.1443913803317161,-0.0001443913803317161
-0.005007999999999999,-0.1260294195409704,-0.0001260294195409703
-0.00500675,-0.1076674587502247,-0.0001076674587502247
-0.0050055,-0.0929778901176281,-9.29778901176281e-05
-0.00500425,-0.07094353716874327,-7.094353716874327e-05
-0.005003,-0.04890918421983841,-4.890918421983841e-05
-0.005001749999999999,-0.03054722342908269,-3.054722342908269e-05
-0.0050005,-0.008512870480197866,-8.512870480197866e-06
-0.004999249999999999,0.006176698152398693,6.176698152398693e-06
-0.004998,0.02821105110129353,2.821105110129353e-05
-0.004996749999999999,0.05391779620833751,5.391779620833751e-05
-0.0049955,0.07595214915722233,7.595214915722233e-05
-0.00499425,0.09064171778982892,9.064171778982892e-05
-0.004993,0.1090036785805663,0.0001090036785805663
-0.00499175,0.1347104236876186,0.0001347104236876186
-0.004990499999999999,0.1493999923202235,0.0001493999923202235
-0.00498925,0.1677619531109609,0.0001677619531109609
-0.004987999999999999,0.1934686982180048,0.0001934686982180048
-0.00498675,0.2118306590087505,0.0002118306590087505
-0.004985499999999999,0.2265202276413471,0.0002265202276413471
-0.00498425,0.2485545805902319,0.0002485545805902319
-0.004983,0.2705889335391368,0.0002705889335391368
-0.004981749999999999,0.2852785021717434,0.0002852785021717433
-0.0049805,0.3073128551206282,0.0003073128551206282
-0.004979249999999999,0.3256748159113839,0.0003256748159113839
-0.004978,0.3477091688602688,0.0003477091688602687
-0.004976749999999999,0.3697435218091636,0.0003697435218091636
-0.0049755,0.3881054825999093,0.0003881054825999093
-0.00497425,0.406467443390655,0.000406467443390655
-0.004973,0.4211570120232448,0.0004211570120232448
-0.00497175,0.4431913649721464,0.0004431913649721464
-0.004970499999999999,0.4652257179210513,0.0004652257179210513
-0.00496925,0.4872600708699361,0.0004872600708699361
-0.004967999999999999,0.5056220316606883,0.0005056220316606883
-0.00496675,0.5203116002932783,0.0005203116002932783
-0.004965499999999999,0.5423459532421731,0.0005423459532421731
-0.00496425,0.5643803061910679,0.0005643803061910679
-0.004963,0.5790698748236645,0.0005790698748236644
-0.00496175,0.6011042277725493,0.0006011042277725494
-0.0049605,0.6231385807214542,0.0006231385807214542
-0.004959249999999999,0.6415005415122066,0.0006415005415122066
-0.004958,0.6561901101447964,0.0006561901101447965
-0.004956749999999999,0.6782244630936913,0.0006782244630936914
-0.0049555,0.696586423884437,0.000696586423884437
-0.004954249999999999,0.7186207768333318,0.0007186207768333318
-0.004953,0.7369827376240692,0.0007369827376240692
-0.00495175,0.7516723062566741,0.0007516723062566741
-0.0049505,0.766361874889264,0.0007663618748892639
-0.00494925,0.7883962278381654,0.0007883962278381655
-0.004947999999999999,0.8141029729452162,0.0008141029729452162
-0.00494675,0.828792541577806,0.000828792541577806
-0.004945499999999999,0.8434821102104025,0.0008434821102104025
-0.00494425,0.8618440710011482,0.0008618440710011483
-0.004942999999999999,0.8912232082663414,0.0008912232082663414
-0.00494175,0.9022403847407838,0.0009022403847407838
-0.0049405,0.9206023455315345,0.0009206023455315346
-0.00493925,0.931619522005977,0.000931619522005977
-0.004938,0.9536538749548767,0.0009536538749548767
-0.004936749999999999,0.9756882279037783,0.0009756882279037784
-0.0049355,0.9903777965363681,0.0009903777965363681
-0.004934249999999999,1.016084541643412,0.001016084541643412
-0.004933,1.030774110276009,0.001030774110276009
-0.00493175,1.045463678908605,0.001045463678908605
-0.0049305,1.060153247541195,0.001060153247541195
-0.00492925,1.078515208331948,0.001078515208331948
-0.004927999999999999,1.096877169122702,0.001096877169122702
-0.00492675,1.115239129913439,0.001115239129913439
-0.004925499999999999,1.133601090704195,0.001133601090704195
-0.00492425,1.15563544365308,0.00115563544365308
-0.004922999999999999,1.170325012285676,0.001170325012285676
-0.00492175,1.185014580918273,0.001185014580918273
-0.0049205,1.203376541709018,0.001203376541709018
-0.00491925,1.218066110341608,0.001218066110341608
-0.004918,1.236428071132361,0.001236428071132361
-0.004916749999999999,1.258462424081261,0.00125846242408126
-0.0049155,1.269479600555703,0.001269479600555703
-0.004914249999999999,1.287841561346457,0.001287841561346457
-0.004913,1.306203522137194,0.001306203522137194
-0.004911749999999999,1.317220698611642,0.001317220698611642
-0.0049105,1.335582659402379,0.001335582659402379
-0.00490925,1.353944620193133,0.001353944620193133
-0.004908,1.375978973142018,0.001375978973142018
-0.00490675,1.383323757458326,0.001383323757458326
-0.004905499999999999,1.40168571824908,0.00140168571824908
-0.00490425,1.420047679039818,0.001420047679039817
-0.004902999999999999,1.438409639830563,0.001438409639830563
-0.00490175,1.456771600621309,0.001456771600621309
-0.004900499999999999,1.471461169253905,0.001471461169253905
-0.00489925,1.486150737886496,0.001486150737886495
-0.004898,1.504512698677248,0.001504512698677248
-0.00489675,1.51552987515169,0.00151552987515169
-0.0048955,1.526547051626143,0.001526547051626143
-0.004894249999999999,1.544909012416898,0.001544909012416898
-0.004893,1.566943365365783,0.001566943365365783
-0.004891749999999999,1.574288149682082,0.001574288149682081
-0.0048905,1.592650110472827,0.001592650110472827
-0.004889249999999999,1.614684463421722,0.001614684463421722
-0.004888,1.622029247738017,0.001622029247738017
-0.00488675,1.636718816370617,0.001636718816370617
-0.004885499999999999,1.651408385003222,0.001651408385003222
-0.00488425,1.669770345793959,0.001669770345793959
-0.004882999999999999,1.680787522268413,0.001680787522268413
-0.00488175,1.695477090901003,0.001695477090901003
-0.004880499999999999,1.7101666595336,0.0017101666595336
-0.00487925,1.724856228166196,0.001724856228166196
-0.004878,1.739545796798793,0.001739545796798793
-0.00487675,1.750562973273235,0.001750562973273235
-0.0048755,1.761580149747688,0.001761580149747688
-0.004874249999999999,1.77994211053844,0.00177994211053844
-0.004873,1.79463167917103,0.00179463167917103
-0.004871749999999999,1.805648855645484,0.001805648855645484
-0.0048705,1.820338424278074,0.001820338424278074
-0.004869249999999999,1.83502799291067,0.00183502799291067
-0.004868,1.842372777226965,0.001842372777226965
-0.00486675,1.857062345859565,0.001857062345859565
-0.0048655,1.871751914492155,0.001871751914492155
-0.00486425,1.882769090966609,0.001882769090966609
-0.004862999999999999,1.893786267441065,0.001893786267441065
-0.00486175,1.912148228231802,0.001912148228231802
-0.004860499999999999,1.926837796864399,0.001926837796864399
-0.00485925,1.937854973338846,0.001937854973338846
-0.004857999999999999,1.952544541971443,0.001952544541971443
-0.00485675,1.959889326287738,0.001959889326287738
-0.0048555,1.970906502762189,0.001970906502762189
-0.00485425,1.985596071394778,0.001985596071394779
-0.004853,1.996613247869233,0.001996613247869232
-0.004851749999999999,2.011302816501834,0.002011302816501834
-0.0048505,2.022319992976277,0.002022319992976277
-0.004849249999999999,2.033337169450724,0.002033337169450724
-0.004848,2.040681953767022,0.002040681953767022
-0.004846749999999999,2.055371522399619,0.002055371522399619
-0.0048455,2.062716306715914,0.002062716306715914
-0.00484425,2.077405875348514,0.002077405875348514
-0.004842999999999999,2.081078267506669,0.002081078267506669
-0.00484175,2.09576783613926,0.00209576783613926
-0.004840499999999999,2.106785012613714,0.002106785012613713
-0.00483925,2.121474581246304,0.002121474581246304
-0.004837999999999999,2.125146973404453,0.002125146973404453
-0.00483675,2.139836542037049,0.002139836542037049
-0.0048355,2.147181326353348,0.002147181326353348
-0.00483425,2.15819850282779,0.00215819850282779
-0.004833,2.169215679302242,0.002169215679302242
-0.004831749999999999,2.172888071460398,0.002172888071460398
-0.0048305,2.187577640092988,0.002187577640092988
-0.004829249999999999,2.198594816567437,0.002198594816567437
-0.004828,2.202267208725585,0.002202267208725585
-0.004826749999999999,2.216956777358181,0.002216956777358181
-0.0048255,2.224301561674476,0.002224301561674476
-0.00482425,2.231646345990778,0.002231646345990778
-0.004823,2.238991130307073,0.002238991130307073
-0.00482175,2.250008306781524,0.002250008306781523
-0.004820499999999999,2.253680698939681,0.002253680698939681
-0.00481925,2.272042659730418,0.002272042659730418
-0.004817999999999999,2.275715051888568,0.002275715051888567
-0.00481675,2.286732228363015,0.002286732228363015
-0.004815499999999999,2.286732228363015,0.002286732228363015
-0.00481425,2.297749404837457,0.002297749404837457
-0.004813,2.305094189153761,0.002305094189153761
-0.00481175,2.308766581311908,0.002308766581311908
-0.0048105,2.319783757786357,0.002319783757786357
-0.004809249999999999,2.327128542102659,0.002327128542102659
-0.004808,2.334473326418954,0.002334473326418954
-0.004806749999999999,2.345490502893401,0.002345490502893401
-0.0048055,2.34916289505155,0.00234916289505155
-0.004804249999999999,2.360180071525998,0.002360180071525998
-0.004803,2.367524855842293,0.002367524855842293
-0.00480175,2.371197248000445,0.002371197248000445
-0.004800499999999999,2.378542032316742,0.002378542032316742
-0.00479925,2.374869640158594,0.002374869640158594
-0.004797999999999999,2.385886816633047,0.002385886816633047
-0.00479675,2.396903993107489,0.002396903993107489
-0.004795499999999999,2.396903993107489,0.002396903993107489
-0.00479425,2.404248777423788,0.002404248777423788
-0.004793,2.407921169581936,0.002407921169581937
-0.00479175,2.411593561740084,0.002411593561740084
-0.0047905,2.418938346056384,0.002418938346056384
-0.004789249999999999,2.422610738214535,0.002422610738214535
-0.004788,2.426283130372682,0.002426283130372682
-0.004786749999999999,2.433627914688982,0.002433627914688982
-0.0047855,2.43730030684713,0.00243730030684713
-0.004784249999999999,2.440972699005279,0.002440972699005279
-0.004783,2.444645091163426,0.002444645091163426
-0.00478175,2.448317483321577,0.002448317483321577
-0.0047805,2.455662267637872,0.002455662267637872
-0.00477925,2.455662267637875,0.002455662267637875
-0.004777999999999999,2.459334659796026,0.002459334659796026
-0.00477675,2.463007051954174,0.002463007051954174
-0.004775499999999999,2.463007051954174,0.002463007051954174
-0.00477425,2.470351836270472,0.002470351836270472
-0.004772999999999999,2.466679444112323,0.002466679444112323
-0.00477175,2.474024228428617,0.002474024228428618
-0.0047705,2.47769662058677,0.00247769662058677
-0.00476925,2.47769662058677,0.00247769662058677
-0.004768,2.47769662058677,0.00247769662058677
-0.004766749999999999,2.477696620586774,0.002477696620586774
-0.0047655,2.485041404903068,0.002485041404903068
-0.004764249999999999,2.488713797061218,0.002488713797061218
-0.004763,2.496058581377516,0.002496058581377516
-0.004761749999999999,2.488713797061218,0.002488713797061218
-0.0047605,2.488713797061218,0.002488713797061218
-0.00475925,2.492386189219367,0.002492386189219367
-0.004757999999999999,2.496058581377516,0.002496058581377516
-0.00475675,2.496058581377516,0.002496058581377516
-0.004755499999999999,2.488713797061218,0.002488713797061218
-0.00475425,2.488713797061218,0.002488713797061218
-0.004752999999999999,2.492386189219367,0.002492386189219367
-0.00475175,2.496058581377516,0.002496058581377516
-0.0047505,2.496058581377516,0.002496058581377516
-0.00474925,2.496058581377516,0.002496058581377516
-0.004748,2.492386189219367,0.002492386189219367
-0.004746749999999999,2.492386189219368,0.002492386189219369
-0.0047455,2.496058581377516,0.002496058581377516
-0.004744249999999999,2.496058581377514,0.002496058581377514
-0.004743,2.492386189219367,0.002492386189219367
-0.004741749999999999,2.492386189219367,0.002492386189219367
-0.0047405,2.492386189219367,0.002492386189219367
-0.00473925,2.492386189219367,0.002492386189219367
-0.004738,2.488713797061219,0.00248871379706122
-0.00473675,2.488713797061218,0.002488713797061218
-0.004735499999999999,2.488713797061214,0.002488713797061214
-0.00473425,2.481369012744919,0.002481369012744919
-0.004732999999999999,2.481369012744919,0.002481369012744919
-0.00473175,2.481369012744919,0.002481369012744919
-0.004730499999999999,2.474024228428621,0.002474024228428621
-0.00472925,2.470351836270474,0.002470351836270474
-0.004728,2.470351836270472,0.002470351836270472
-0.00472675,2.470351836270472,0.002470351836270472
-0.0047255,2.466679444112323,0.002466679444112323
-0.004724249999999999,2.463007051954172,0.002463007051954172
-0.004723,2.459334659796025,0.002459334659796025
-0.004721749999999999,2.455662267637875,0.002455662267637875
-0.0047205,2.444645091163428,0.002444645091163428
-0.004719249999999999,2.448317483321577,0.002448317483321577
-0.004718,2.440972699005282,0.002440972699005282
-0.00471675,2.43730030684713,0.00243730030684713
-0.004715499999999999,2.433627914688977,0.002433627914688977
-0.00471425,2.426283130372682,0.002426283130372682
-0.004712999999999999,2.422610738214533,0.002422610738214533
-0.00471175,2.422610738214533,0.002422610738214533
-0.004710499999999999,2.415265953898235,0.002415265953898235
-0.00470925,2.415265953898235,0.002415265953898235
-0.004708,2.407921169581936,0.002407921169581937
-0.00470675,2.400576385265642,0.002400576385265642
-0.0047055,2.396903993107489,0.002396903993107489
-0.004704249999999999,2.389559208791187,0.002389559208791187
-0.004703,2.382214424474892,0.002382214424474892
-0.004701749999999999,2.382214424474889,0.002382214424474889
-0.0047005,2.374869640158594,0.002374869640158594
-0.004699249999999999,2.363852463684147,0.002363852463684147
-0.004698,2.356507679367852,0.002356507679367852
-0.00469675,2.356507679367848,0.002356507679367848
-0.0046955,2.345490502893406,0.002345490502893406
-0.00469425,2.338145718577103,0.002338145718577103
-0.004692999999999999,2.330800934260803,0.002330800934260803
-0.00469175,2.327128542102655,0.002327128542102655
-0.004690499999999999,2.316111365628208,0.002316111365628208
-0.00468925,2.305094189153761,0.002305094189153761
-0.004687999999999999,2.301421796995611,0.002301421796995611
-0.00468675,2.297749404837464,0.002297749404837464
-0.0046855,2.286732228363015,0.002286732228363015
-0.00468425,2.27938744404672,0.00227938744404672
-0.004683,2.272042659730418,0.002272042659730418
-0.004681749999999999,2.261025483255966,0.002261025483255965
-0.0046805,2.250008306781524,0.002250008306781523
-0.004679249999999999,2.242663522465225,0.002242663522465225
-0.004678,2.235318738148927,0.002235318738148927
-0.004676749999999999,2.231646345990778,0.002231646345990778
-0.0046755,2.224301561674483,0.002224301561674483
-0.00467425,2.209611993041883,0.002209611993041883
-0.004672999999999999,2.198594816567432,0.002198594816567432
-0.00467175,2.191250032251137,0.002191250032251137
-0.004670499999999999,2.183905247934834,0.002183905247934834
-0.00466925,2.172888071460391,0.002172888071460391
-0.004667999999999999,2.161870894985944,0.002161870894985944
-0.00466675,2.154526110669646,0.002154526110669646
-0.0046655,2.143508934195198,0.002143508934195198
-0.00466425,2.132491757720756,0.002132491757720756
-0.004663,2.121474581246304,0.002121474581246304
-0.004661749999999999,2.110457404771853,0.002110457404771853
-0.0046605,2.103112620455558,0.002103112620455558
-0.004659249999999999,2.095767836139253,0.002095767836139253
-0.004658,2.081078267506663,0.002081078267506663
-0.004656749999999999,2.070061091032215,0.002070061091032215
-0.0046555,2.055371522399619,0.002055371522399619
-0.00465425,2.048026738083321,0.002048026738083321
-0.004653,2.040681953767026,0.002040681953767026
-0.00465175,2.022319992976277,0.002022319992976277
-0.004650499999999999,2.014975208659972,0.002014975208659972
