#Digilent WaveForms Oscilloscope Acquisition,,
#Device Name: Discovery2,,
#Serial Number: SN:210321B0DF82,,
#Date Time: 2022-02-28 19:17:59.766,,
#Sample rate: 4e+06Hz,,
#Samples: 8192,,
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 100 ns,,
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average,,
#Wavegen Channel 1: Running,,
#Mode: Simple,,
#Type: Sine,,
#Frequency: 1 kHz,,
#Period: 1 ms,,
#Amplitude: 5 V,,
#Offset: 0 V,,
#Symmetry: 50 %,,
#Phase: 0 °,,
,,
Time (s),Channel 1 (V),Id1
-0.000524,0.002504306,2.50E-06
-0.00052375,-0.001168086,-1.17E-06
-0.0005235,-0.001168086,-1.17E-06
-0.00052325,-0.001168086,-1.17E-06
-0.000523,-0.001168086,-1.17E-06
-0.00052275,-0.001168086,-1.17E-06
-0.0005225,0.002504306,2.50E-06
-0.00052225,0.002504306,2.50E-06
-0.000522,0.006176698,6.18E-06
-0.00052175,0.006176698,6.18E-06
-0.0005215,0.002504306,2.50E-06
-0.00052125,0.002504306,2.50E-06
-0.000521,-0.001168086,-1.17E-06
-0.00052075,-0.001168086,-1.17E-06
-0.0005205,0.002504306,2.50E-06
-0.00052025,0.006176698,6.18E-06
-0.00052,0.002504306,2.50E-06
-0.00051975,0.002504306,2.50E-06
-0.0005195,-0.001168086,-1.17E-06
-0.00051925,-0.001168086,-1.17E-06
-0.000519,0.006176698,6.18E-06
-0.00051875,0.006176698,6.18E-06
-0.0005185,0.002504306,2.50E-06
-0.00051825,0.006176698,6.18E-06
-0.000518,0.006176698,6.18E-06
-0.00051775,0.002504306,2.50E-06
-0.0005175,-0.001168086,-1.17E-06
-0.00051725,0.006176698,6.18E-06
-0.000517,0.002504306,2.50E-06
-0.00051675,0.002504306,2.50E-06
-0.0005165,0.002504306,2.50E-06
-0.00051625,0.002504306,2.50E-06
-0.000516,-0.004840478,-4.84E-06
-0.00051575,-0.001168086,-1.17E-06
-0.0005155,-0.004840478,-4.84E-06
-0.00051525,-0.001168086,-1.17E-06
-0.000515,-0.001168086,-1.17E-06
-0.00051475,-0.001168086,-1.17E-06
-0.0005145,-0.001168086,-1.17E-06
-0.00051425,-0.001168086,-1.17E-06
-0.000514,-0.001168086,-1.17E-06
-0.00051375,0.002504306,2.50E-06
-0.0005135,-0.001168086,-1.17E-06
-0.00051325,-0.004840478,-4.84E-06
-0.000513,-0.004840478,-4.84E-06
-0.00051275,-0.004840478,-4.84E-06
-0.0005125,-0.004840478,-4.84E-06
-0.00051225,0.002504306,2.50E-06
-0.000512,0.002504306,2.50E-06
-0.00051175,0.002504306,2.50E-06
-0.0005115,0.002504306,2.50E-06
-0.00051125,0.002504306,2.50E-06
-0.000511,-0.001168086,-1.17E-06
-0.00051075,-0.001168086,-1.17E-06
-0.0005105,0.002504306,2.50E-06
-0.00051025,-0.001168086,-1.17E-06
-0.00051,-0.004840478,-4.84E-06
-0.00050975,-0.004840478,-4.84E-06
-0.0005095,-0.004840478,-4.84E-06
-0.00050925,-0.001168086,-1.17E-06
-0.000509,-0.004840478,-4.84E-06
-0.00050875,-0.004840478,-4.84E-06
-0.0005085,-0.004840478,-4.84E-06
-0.00050825,-0.001168086,-1.17E-06
-0.000508,-0.004840478,-4.84E-06
-0.00050775,-0.001168086,-1.17E-06
-0.0005075,-0.001168086,-1.17E-06
-0.00050725,0.002504306,2.50E-06
-0.000507,0.002504306,2.50E-06
-0.00050675,0.002504306,2.50E-06
-0.0005065,0.006176698,6.18E-06
-0.00050625,0.002504306,2.50E-06
-0.000506,0.00984909,9.85E-06
-0.00050575,-0.001168086,-1.17E-06
-0.0005055,-0.001168086,-1.17E-06
-0.00050525,-0.00851287,-8.51E-06
-0.000505,-0.001168086,-1.17E-06
-0.00050475,-0.001168086,-1.17E-06
-0.0005045,-0.004840478,-4.84E-06
-0.00050425,-0.001168086,-1.17E-06
-0.000504,-0.001168086,-1.17E-06
-0.00050375,0.002504306,2.50E-06
-0.0005035,0.002504306,2.50E-06
-0.00050325,-0.001168086,-1.17E-06
-0.000503,0.002504306,2.50E-06
-0.00050275,0.002504306,2.50E-06
-0.0005025,-0.001168086,-1.17E-06
-0.00050225,-0.001168086,-1.17E-06
-0.000502,-0.001168086,-1.17E-06
-0.00050175,-0.004840478,-4.84E-06
-0.0005015,-0.001168086,-1.17E-06
-0.00050125,-0.001168086,-1.17E-06
-0.000501,-0.001168086,-1.17E-06
-0.00050075,-0.001168086,-1.17E-06
-0.0005005,0.002504306,2.50E-06
-0.00050025,0.002504306,2.50E-06
-0.0005,-0.001168086,-1.17E-06
-0.00049975,0.002504306,2.50E-06
-0.0004995,0.002504306,2.50E-06
-0.00049925,-0.001168086,-1.17E-06
-0.000499,-0.004840478,-4.84E-06
-0.00049875,-0.001168086,-1.17E-06
-0.0004985,-0.001168086,-1.17E-06
-0.00049825,-0.001168086,-1.17E-06
-0.000498,-0.001168086,-1.17E-06
-0.00049775,-0.001168086,-1.17E-06
-0.0004975,-0.004840478,-4.84E-06
-0.00049725,-0.001168086,-1.17E-06
-0.000497,-0.004840478,-4.84E-06
-0.00049675,-0.001168086,-1.17E-06
-0.0004965,-0.004840478,-4.84E-06
-0.00049625,-0.004840478,-4.84E-06
-0.000496,-0.004840478,-4.84E-06
-0.00049575,-0.004840478,-4.84E-06
-0.0004955,-0.004840478,-4.84E-06
-0.00049525,-0.00851287,-8.51E-06
-0.000495,-0.001168086,-1.17E-06
-0.00049475,-0.001168086,-1.17E-06
-0.0004945,-0.001168086,-1.17E-06
-0.00049425,-0.004840478,-4.84E-06
-0.000494,-0.001168086,-1.17E-06
-0.00049375,-0.001168086,-1.17E-06
-0.0004935,0.002504306,2.50E-06
-0.00049325,0.002504306,2.50E-06
-0.000493,0.006176698,6.18E-06
-0.00049275,0.006176698,6.18E-06
-0.0004925,0.006176698,6.18E-06
-0.00049225,0.002504306,2.50E-06
-0.000492,0.002504306,2.50E-06
